AL,Alabama,Montgomery,"5,108,468",Camellia
AK,Alaska,Juneau,"733,406",Forget-me-not
AZ,Arizona,Phoenix,"7,431,344",Saguaro Cactus Blossom
AR,Arkansas,Little Rock,"3,067,732",Apple Blossom
CA,California,Sacramento,"38,965,193",California Poppy
CO,Colorado,Denver,"5,877,610",Rocky Mountain Columbine
CT,Connecticut,Hartford,"3,617,176",Mountain Laurel
DE,Delaware,Dover,"1,031,890",Peach Blossom
FL,Florida,Tallahassee,"22,610,726",Orange Blossom
GA,Georgia,Atlanta,"11,029,227",Cherokee Rose
HI,Hawaii,Honolulu,"1,435,138",Hibiscus
ID,Idaho,Boise,"1,964,726",Syringa
IL,Illinois,Springfield,"12,549,689",Violet
IN,Indiana,Indianapolis,"6,862,199",Peony
IA,Iowa,Des Moines,"3,207,004",Wild Rose
KS,Kansas,Topeka,"2,940,546",Sunflower
KY,Kentucky,Frankfort,"4,526,154",Goldenrod
LA,Louisiana,Baton Rouge,"4,573,749",Magnolia
ME,Maine,Augusta,"1,395,722",White Pine
MD,Maryland,Annapolis,"6,180,253",Black-eyed Susan
MA,Massachusett,Boston,"7,001,399",Mayflower
MI,Michigan,Lansing,"10,037,261",Apple Blossom
MN,Minnesota,St. Paul,"5,737,915",Pink and White Lady's Slipper
MS,Mississippi,Jackson,"2,939,690",Magnolia
MO,Missouri,Jefferson City,"6,196,156",Hawthorn
MT,Montana,Helena,"1,132,812",Bitterroot
NE,Nebraska,Lincoln,"1,978,379",Goldenrod
NV,Nevada,Carson City,"3,194,176",Sagebrush
NH,New Hampshi,Concord,"1,402,054",Purple Lilac
NJ,New Jersey,Trenton,"9,290,841",Purple Violet
NM,New Mexico,Santa Fe,"2,114,371",Yucca
NY,New York,Albany,"19,571,216",Rose
NC,North Carolin,Raleigh,"10,835,491",Dogwood
ND,North Dakota,Bismarck,"783,926",Wild Prairie Rose
OH,Ohio,Columbus,"11,785,935",Scarlet Carnation
OK,Oklahoma,Oklahoma City,"4,053,824",Oklahoma Rose
OR,Oregon,Salem,"4,233,358",Oregon Grape
PA,Pennsylvania,Harrisburg,"12,961,683",Mountain Laurel
RI,Rhode Island,Providence,"1,095,962",Violet
SC,South Carolin,Columbia,"5,373,555",Yellow Jessamine
SD,South Dakota,Pierre,"919,318",Pasque Flower
TN,Tennessee,Nashville,"7,126,489",Iris
TX,Texas,Austin,"30,503,301",Bluebonnet
UT,Utah,Salt Lake City,"3,417,734",Sego Lily
VT,Vermont,Montpelier,"647,464",Red Clover
VA,Virginia,Richmond,"8,715,698",American Dogwood
WA,Washington,Olympia,"7,812,880",Western Rhododendron
WV,West Virginia,Charleston,"1,770,071",Rhododendron
WI,Wisconsin,Madison,"5,910,955",Wood Violet
WY,Wyoming,Cheyenne,"584,057",Indian Paintbrush